Gene,T-stat,p-value,p-adj,-log10(p),-log10(p-adj),log2FC,Gene_clean,query,symbol
ENSG00000105926.15,-6.536109953922782,1.1409080098924209e-06,,5.942749370837404,,-1.5071571673712751,ENSG00000105926,ENSG00000105926,PALS2
ENSG00000187824.8,-6.1874251368665245,2.593972006666642e-06,,5.58603471499666,,-2.605552355839616,ENSG00000187824,ENSG00000187824,TMEM220
ENSG00000255042.2,-4.998128273371723,4.686026126322639e-05,,4.329195294380515,,-2.650268946550921,ENSG00000255042,ENSG00000255042,SEPTIN7P11
ENSG00000172967.7,-4.907190575070622,5.872206742216719e-05,,4.231198662658859,,-2.2011496471614924,ENSG00000172967,ENSG00000172967,XKR3
ENSG00000254786.1,-4.7712271635453884,8.233990105917902e-05,,4.084389659192776,,-2.3544486949096486,ENSG00000254786,ENSG00000254786,
ENSG00000253953.2,4.759679094201419,8.474092702881004e-05,,4.071906789316683,,1.1084856646019074,ENSG00000253953,ENSG00000253953,PCDHGB4
ENSG00000234945.7,-4.741857763167202,8.858512306433464e-05,,4.052639207159932,,-2.048355925408606,ENSG00000234945,ENSG00000234945,GTF3C2-AS1
ENSG00000127083.7,-4.576953799331137,0.0001336033973766,,3.874182498124122,,-1.96807496352652,ENSG00000127083,ENSG00000127083,OMD
ENSG00000168589.14,-4.3555354701251305,0.0002320972511026,,3.63433000318062,,-2.0306058401827225,ENSG00000168589,ENSG00000168589,DYNLRB2
ENSG00000250493.2,-4.346367774518321,0.0002374654576902,,3.6243995549887975,,-2.0625717506166774,ENSG00000250493,ENSG00000250493,LOC101929227
ENSG00000146378.6,-4.346336297971761,0.0002374841009218,,3.62436546019928,,-2.072125286288913,ENSG00000146378,ENSG00000146378,TAAR2
ENSG00000148541.12,-4.258042934450163,0.0002959712039166,,3.5287505409290123,,-1.369494298686024,ENSG00000148541,ENSG00000148541,FAM13C
ENSG00000109205.16,-4.250519652935164,0.000301574002196,,3.520606100433092,,-1.7294060824734714,ENSG00000109205,ENSG00000109205,ODAM
ENSG00000188674.10,-4.228881598790717,0.0003182845031669,,3.4971845060630504,,-1.3841568147523016,ENSG00000188674,ENSG00000188674,C2orf80
ENSG00000116721.9,-4.216343543914877,0.0003283861361062,,3.483615186326253,,-1.545865077743745,ENSG00000116721,ENSG00000116721,PRAMEF1
ENSG00000232456.1,-4.1891413159131865,0.0003514133917212,,3.454181692357398,,-1.967715599540077,ENSG00000232456,ENSG00000232456,FAM131C2P
ENSG00000105549.10,-4.18757964147058,0.0003527831281244,,3.452492193204754,,-1.6372180002104264,ENSG00000105549,ENSG00000105549,SPMAP2
ENSG00000187862.11,4.143432795343545,0.0003937808255939,,3.4047454348242594,,1.0719723928507638,ENSG00000187862,ENSG00000187862,TTC24
ENSG00000161835.10,-4.138927216234319,0.0003982226641068,,3.3998740265375536,,-1.9245200439536565,ENSG00000161835,ENSG00000161835,TAMALIN
ENSG00000233539.5,-4.114245447883779,0.000423453869508,,3.3731938942100483,,-1.6843267664344037,ENSG00000233539,ENSG00000233539,LOC730338
ENSG00000238132.2,-4.095653310869516,0.0004435033137383,,3.353103130887704,,-1.5374858613949731,ENSG00000238132,ENSG00000238132,GOLM2P1
ENSG00000164744.12,-4.052634711890065,0.0004935813905106,,3.306641222862339,,-1.6580418342569512,ENSG00000164744,ENSG00000164744,SUN3
ENSG00000162631.18,-4.042012095655293,0.0005067876778044,,3.2951739532333417,,-1.5085212880459868,ENSG00000162631,ENSG00000162631,NTNG1
ENSG00000185917.13,-3.9918812655753495,0.0005739974224106,,3.241090057837856,,-1.2510600165343493,ENSG00000185917,ENSG00000185917,SETD4
ENSG00000223510.6,-3.985381420074,0.0005833350730903,,3.2340819107778045,,-2.132817858348482,ENSG00000223510,ENSG00000223510,CDRT15
ENSG00000230445.4,-3.977685858538552,0.0005945852476394,,3.2257858703551703,,-1.2924977411315852,ENSG00000230445,ENSG00000230445,LRRC37A6P
ENSG00000173269.13,-3.975020353841911,0.0005985318706086,,3.222912719341208,,-1.4295118249216838,ENSG00000173269,ENSG00000173269,MMRN2
ENSG00000211820.1,-3.966321492475215,0.0006115930687959,,3.213537445105256,,-2.5443687722000297,ENSG00000211820,ENSG00000211820,TRAV41
ENSG00000180673.9,-3.915181014957744,0.0006942874357122,,3.158460693954494,,-1.5482940360785646,ENSG00000180673,ENSG00000180673,EXOC5P1
ENSG00000198774.4,-3.9010866586983033,0.000718961565354,,3.1432943257517825,,-1.4734308053987135,ENSG00000198774,ENSG00000198774,RASSF9
ENSG00000004799.7,-3.8706092283832976,0.0007753198211569,,3.110519113090894,,-0.942507818149348,ENSG00000004799,ENSG00000004799,PDK4
ENSG00000183747.11,-3.867190091411812,0.0007819086356998,,3.1068439903282656,,-1.2010817460296166,ENSG00000183747,ENSG00000183747,ACSM2A
ENSG00000218823.1,-3.8631776131034954,0.0007897114283174,,3.102531577044178,,-1.560604608734066,ENSG00000218823,ENSG00000218823,PAPOLB
ENSG00000105048.16,3.850041718157001,0.0008157979452167,,3.088417392892618,,1.2076075960377315,ENSG00000105048,ENSG00000105048,TNNT1
ENSG00000181958.3,-3.839913685860452,0.0008364905846512,,3.0775389429944777,,-2.2375576588258634,ENSG00000181958,ENSG00000181958,OR4A15
ENSG00000170323.8,-3.8343238631500474,0.0008481322536229,,3.071536420691148,,-1.303990171391161,ENSG00000170323,ENSG00000170323,FABP4
ENSG00000181963.5,-3.82664604578558,0.0008643836154232,,3.0632934738558144,,-2.372166930880766,ENSG00000181963,ENSG00000181963,OR52K2
ENSG00000102934.9,-3.819968968745124,0.0008787663651816,,3.05612657407239,,-1.6525056422649185,ENSG00000102934,ENSG00000102934,PLLP
ENSG00000260266.1,-3.795729864459635,0.0009329910759561,,3.030122510252991,,-1.7328556509938278,ENSG00000260266,ENSG00000260266,PPIAP46
ENSG00000235039.1,-3.773424772228847,0.0009857977585714,,3.006212173644432,,-1.3876646084257511,ENSG00000235039,ENSG00000235039,MTND6P12
ENSG00000182253.14,-3.763660832436676,0.0010098306751328,,2.995751441088954,,-0.616444589988296,ENSG00000182253,ENSG00000182253,SYNM
ENSG00000204361.8,-3.73057529341504,0.0010956389876798,,2.960332522025076,,-1.8008871140072868,ENSG00000204361,ENSG00000204361,NXPE2
ENSG00000122176.10,-3.719741111647321,0.0011252684654332,,2.9487438516443296,,-1.3920347096399457,ENSG00000122176,ENSG00000122176,FMOD
ENSG00000168398.6,-3.6827471453191616,0.0012325059306597,,2.9092109822766123,,-1.678530266608656,ENSG00000168398,ENSG00000168398,BDKRB2
ENSG00000197062.11,-3.674196296436403,0.001258688423359,,2.90008176215789,,-1.1915113314344947,ENSG00000197062,ENSG00000197062,ZSCAN26
ENSG00000178202.12,-3.661488786958953,0.0012986113899025,,2.886520792322534,,-1.2179582018762605,ENSG00000178202,ENSG00000178202,POGLUT3
ENSG00000243797.6,-3.641128049871988,0.0013651864413541,,2.864808033662007,,-1.218763911004868,ENSG00000243797,ENSG00000243797,
ENSG00000138399.17,-3.634943308219551,0.0013860648594575,,2.8582164468919955,,-1.04779377375876,ENSG00000138399,ENSG00000138399,FASTKD1
ENSG00000220924.4,-3.6343554239225457,0.0013880656760858,,2.857589984827212,,-2.3673169389176043,ENSG00000220924,ENSG00000220924,OSTCP4
ENSG00000203727.3,-3.633799131324869,0.0013899615839192,,2.856997202711689,,-1.970697353313683,ENSG00000203727,ENSG00000203727,SAMD5
ENSG00000283380.1,-3.629583342251211,0.001404412340203,,2.8525053631581736,,-1.0273005944997544,ENSG00000283380,ENSG00000283380,LOC124905258
ENSG00000137960.5,-3.623566470355509,0.001425292553121,,2.8460959839601823,,-1.1074929206484037,ENSG00000137960,ENSG00000137960,GIPC2
ENSG00000263465.3,-3.6148215722868073,0.001456183995559,,2.836783746446484,,-1.9483664382809656,ENSG00000263465,ENSG00000263465,SRSF8
ENSG00000268660.1,-3.609761713063615,0.0014743570454298,,2.831397330532144,,-1.6731497318963358,ENSG00000268660,ENSG00000268660,LETM1P2
ENSG00000248305.1,-3.6088661435572855,0.001477596679074,,2.830444093651613,,-2.128092993418146,ENSG00000248305,ENSG00000248305,
ENSG00000186188.10,-3.600654083957249,0.0015076304436526,,2.821705101404928,,-1.5033895355342135,ENSG00000186188,ENSG00000186188,FFAR4
ENSG00000248049.6,-3.5977947154497123,0.001518227836476,,2.818663050114109,,-1.8625156454740932,ENSG00000248049,ENSG00000248049,UBA6-DT
ENSG00000126952.16,-3.570284102154564,0.0016239921831785,,2.7894160654954567,,-0.839074112327787,ENSG00000126952,ENSG00000126952,NXF5
ENSG00000133105.7,-3.565248521090768,0.0016441184461076,,2.784066898086745,,-0.9471164133363268,ENSG00000133105,ENSG00000133105,RXFP2
ENSG00000236476.2,-3.5477149516709776,0.00171612166087,,2.7654519269933697,,-1.8807709449761745,ENSG00000236476,ENSG00000236476,
ENSG00000225568.1,-3.528041369262509,0.0018005917817776,,2.744584736384526,,-2.2164201485638304,ENSG00000225568,ENSG00000225568,LOC100421468
ENSG00000274299.1,-3.504108920819354,0.001908845189439,,2.719229292192321,,-1.7377280272651718,ENSG00000274299,ENSG00000274299,
ENSG00000237321.1,-3.487994007606508,0.0019852964903838,,2.702174625161757,,-1.0039524908490087,ENSG00000237321,ENSG00000237321,
